sample_id,accession,study,bioproject_accession,biosample_accession,library_strategy,library_source,platform,instrument_model,filetype,deepconsensus_version,generator_facility,generator_contact,filename,total_gbp,n50,path,production,coverage
HG04184,SRR25618912,SRP305758,PRJNA701308,SAMN26267397,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04184.m64076_210708_084125.dc.q20.fastq.gz,34.31,18660,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04184.m64076_210708_084125.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.07
HG04199,SRR25618911,SRP305758,PRJNA701308,SAMN26267389,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04199.m54329U_210620_071842.dc.q20.fastq.gz,30.4,18681,s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04199.m54329U_210620_071842.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,9.81
HG00544,SRR25618943,SRP305758,PRJNA701308,SAMN26237491,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00544.m64136_210523_100337.dc.q20.fastq.gz,21.06,19483,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00544.m64136_210523_100337.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,6.79
HG00609,SRR25618921,SRP305758,PRJNA701308,SAMN26237492,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00609.m64136_210620_054327.dc.q20.fastq.gz,40.06,20086,s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00609.m64136_210620_054327.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.92
HG00642,SRR25618910,SRP305758,PRJNA701308,SAMN26267378,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG00642.m64076_210520_213355.dc.q20.fastq.gz,35.68,20383,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00642.m64076_210520_213355.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.51
HG00738,SRR25618909,SRP305758,PRJNA701308,SAMN26237493,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00738.m64043_210601_160048.dc.q20.fastq.gz,31.13,21371,s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00738.m64043_210601_160048.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.04
HG01099,SRR25618908,SRP305758,PRJNA701308,SAMN26237494,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01099.m64043_210707_032602.dc.q20.fastq.gz,34.02,19229,s3://human-pangenomics/working/HPRC/HG01099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01099.m64043_210707_032602.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.97
HG01255,SRR25618907,SRP305758,PRJNA701308,SAMN26237495,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01255.m64136_210519_033858.dc.q20.fastq.gz,35.5,20845,s3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01255.m64136_210519_033858.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.45
HG01496,SRR25618941,SRP305758,PRJNA701308,SAMN26237497,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01496.m64043_210628_151651.dc.q20.fastq.gz,40.85,22774,s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01496.m64043_210628_151651.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.18
HG01884,SRR25618940,SRP305758,PRJNA701308,SAMN26267393,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG01884.m54329U_210718_084331.dc.q20.fastq.gz,43.17,18343,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01884.m54329U_210718_084331.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.93
HG01943,SRR25618939,SRP305758,PRJNA701308,SAMN26237499,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01943.m64043_210719_210019.dc.q20.fastq.gz,36.27,18802,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01943.m64043_210719_210019.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.7
HG01981,SRR25618938,SRP305758,PRJNA701308,SAMN26237500,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01981.m64136_210628_163953.dc.q20.fastq.gz,38.49,22233,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210628_163953.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.42
HG01993,SRR25618937,SRP305758,PRJNA701308,SAMN26237501,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01993.m64043_210624_032817.dc.q20.fastq.gz,33.94,20712,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01993.m64043_210624_032817.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.95
HG02004,SRR25618936,SRP305758,PRJNA701308,SAMN26237502,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02004.m64136_210704_053041.dc.q20.fastq.gz,25.39,19537,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02004.m64136_210704_053041.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,8.19
HG02132,SRR25618933,SRP305758,PRJNA701308,SAMN26267382,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02132.m54329U_210705_145805.dc.q20.fastq.gz,38.08,20092,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02132.m54329U_210705_145805.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.28
HG02280,SRR25618930,SRP305758,PRJNA701308,SAMN26237505,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02280.m64136_210719_201505.dc.q20.fastq.gz,36.92,19272,s3://human-pangenomics/working/HPRC/HG02280/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02280.m64136_210719_201505.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.91
HG02293,SRR25618929,SRP305758,PRJNA701308,SAMN26267394,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02293.m64076_210716_220011.dc.q20.fastq.gz,38.53,19268,s3://human-pangenomics/working/HPRC/HG02293/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02293.m64076_210716_220011.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.43
HG02300,SRR25618928,SRP305758,PRJNA701308,SAMN26267395,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02300.m54329U_210711_215946.dc.q20.fastq.gz,33.79,17901,s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02300.m54329U_210711_215946.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.9
HG02602,SRR25618926,SRP305758,PRJNA701308,SAMN26237507,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02602.m64043_210614_223013.dc.q20.fastq.gz,24.77,19703,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02602.m64043_210614_223013.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.99
HG02615,SRR25618925,SRP305758,PRJNA701308,SAMN26237508,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02615.m64136_210531_083342.dc.q20.fastq.gz,35.83,19410,s3://human-pangenomics/working/HPRC/HG02615/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02615.m64136_210531_083342.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.56
HG02647,SRR25618924,SRP305758,PRJNA701308,SAMN26267383,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02647.m64076_210530_192034.dc.q20.fastq.gz,35.33,17690,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m64076_210530_192034.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.4
HG02698,SRR25618922,SRP305758,PRJNA701308,SAMN26237509,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02698.m64136_210517_184202.dc.q20.fastq.gz,35.73,19619,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02698.m64136_210517_184202.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.53
HG02738,SRR25618920,SRP305758,PRJNA701308,SAMN26267396,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02738.m64076_210714_200553.dc.q20.fastq.gz,29.51,19236,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02738.m64076_210714_200553.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,9.52
HG03669,SRR25618918,SRP305758,PRJNA701308,SAMN26237512,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03669.m64043_210607_090252.dc.q20.fastq.gz,26.46,20222,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03669.m64043_210607_090252.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,8.54
HG03710,SRR25618916,SRP305758,PRJNA701308,SAMN26237513,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03710.m64043_210517_175123.dc.q20.fastq.gz,36.07,20432,s3://human-pangenomics/working/HPRC/HG03710/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03710.m64043_210517_175123.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.63
HG03831,SRR25618915,SRP305758,PRJNA701308,SAMN26237514,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03831.m64136_210614_204240.dc.q20.fastq.gz,23.31,21494,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03831.m64136_210614_204240.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.52
HG03927,SRR25618914,SRP305758,PRJNA701308,SAMN26267386,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG03927.m64076_210517_210115.dc.q20.fastq.gz,36.19,15896,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03927.m64076_210517_210115.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.68
HG04115,SRR25618913,SRP305758,PRJNA701308,SAMN26267388,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04115.m64076_210627_085544.dc.q20.fastq.gz,36.77,22398,s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04115.m64076_210627_085544.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.86
HG04184,SRR25618912,SRP305758,PRJNA701308,SAMN26267397,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04184.m64076_210709_232529.dc.q20.fastq.gz,33.09,18643,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04184.m64076_210709_232529.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.67
HG04199,SRR25618911,SRP305758,PRJNA701308,SAMN26267389,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04199.m54329U_210621_233920.dc.q20.fastq.gz,23.83,18969,s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04199.m54329U_210621_233920.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.69
HG00544,SRR25618943,SRP305758,PRJNA701308,SAMN26237491,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00544.m64136_210525_165246.dc.q20.fastq.gz,22.83,18781,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00544.m64136_210525_165246.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.37
HG00642,SRR25618910,SRP305758,PRJNA701308,SAMN26267378,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG00642.m64076_210522_082905.dc.q20.fastq.gz,35.31,20418,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00642.m64076_210522_082905.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.39
HG00738,SRR25618909,SRP305758,PRJNA701308,SAMN26237493,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00738.m64136_210602_151340.dc.q20.fastq.gz,25.65,21121,s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00738.m64136_210602_151340.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,8.28
HG02004,SRR25618936,SRP305758,PRJNA701308,SAMN26237502,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02004.m64136_210705_162724.dc.q20.fastq.gz,33.84,19979,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02004.m64136_210705_162724.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.92
HG02602,SRR25618926,SRP305758,PRJNA701308,SAMN26237507,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02602.m64043_210618_184604.dc.q20.fastq.gz,39.94,20233,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02602.m64043_210618_184604.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.88
HG02647,SRR25618924,SRP305758,PRJNA701308,SAMN26267383,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02647.m64076_210601_061523.dc.q20.fastq.gz,35.89,17853,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m64076_210601_061523.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.58
HG02738,SRR25618920,SRP305758,PRJNA701308,SAMN26267396,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02738.m64076_210718_085619.dc.q20.fastq.gz,30.9,18970,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02738.m64076_210718_085619.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,9.97
HG03669,SRR25618918,SRP305758,PRJNA701308,SAMN26237512,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03669.m64043_210610_203329.dc.q20.fastq.gz,29.07,19881,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03669.m64043_210610_203329.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,9.38
HG03831,SRR25618915,SRP305758,PRJNA701308,SAMN26237514,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03831.m64136_210618_184849.dc.q20.fastq.gz,42.33,21603,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03831.m64136_210618_184849.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.65
HG03927,SRR25618914,SRP305758,PRJNA701308,SAMN26267386,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG03927.m64076_210519_075634.dc.q20.fastq.gz,34.06,15865,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03927.m64076_210519_075634.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.99
HG04184,SRR25618912,SRP305758,PRJNA701308,SAMN26267397,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04184.m64076_210712_194121.dc.q20.fastq.gz,35.94,18802,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04184.m64076_210712_194121.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.59
HG04199,SRR25618911,SRP305758,PRJNA701308,SAMN26267389,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04199.m64076_210613_183806.dc.q20.fastq.gz,36.91,21074,s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04199.m64076_210613_183806.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.91
HG02071,SRR30729126,SRP305758,PRJNA701308,SAMN26267380,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02071.m64076_210607_215041.dc.q20.fastq.gz,39.02,18873,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02071/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02071.m64076_210607_215041.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,12.59
HG02071,SRR30729125,SRP305758,PRJNA701308,SAMN26267380,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02071.m64076_210604_225751.dc.q20.fastq.gz,39.92,19176,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02071/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02071.m64076_210604_225751.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,12.88
HG02071,SRR30729235,SRP305758,PRJNA701308,SAMN26267380,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02071.m64076_210609_084637.dc.q20.fastq.gz,34.8,19497,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02071/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02071.m64076_210609_084637.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,11.23
HG02071,SRR30729234,SRP305758,PRJNA701308,SAMN26267380,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02071.m54329U_210507_224951.dc.q20.fastq.gz,4.1,20688,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02071/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02071.m54329U_210507_224951.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,1.32
HG02074,SRR30729233,SRP305758,PRJNA701308,SAMN26267381,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02074.m64076_210630_101034.dc.q20.fastq.gz,37.79,19966,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02074.m64076_210630_101034.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,12.19
HG02074,SRR30729232,SRP305758,PRJNA701308,SAMN26267381,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02074.m54329U_210626_074001.dc.q20.fastq.gz,41.5,19107,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02074.m54329U_210626_074001.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,13.39
HG02074,SRR30729231,SRP305758,PRJNA701308,SAMN26267381,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02074.m54329U_210630_194237.dc.q20.fastq.gz,33.25,19090,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02074.m54329U_210630_194237.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,10.73
HG02074,SRR30729230,SRP305758,PRJNA701308,SAMN26267381,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02074.m54329U_210507_224951.dc.q20.fastq.gz,4.18,18471,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02074.m54329U_210507_224951.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,1.35
HG02135,SRR30729229,SRP305758,PRJNA701308,SAMN26267392,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02135.m54329U_210715_074913.dc.q20.fastq.gz,40.19,17925,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02135/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02135.m54329U_210715_074913.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,12.96
HG02135,SRR30729227,SRP305758,PRJNA701308,SAMN26267392,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02135.m64076_210719_222908.dc.q20.fastq.gz,34.65,17931,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02135/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02135.m64076_210719_222908.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,11.18
HG02135,SRR30729226,SRP305758,PRJNA701308,SAMN26267392,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02135.m64076_210602_215048.dc.q20.fastq.gz,18.44,18035,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02135/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02135.m64076_210602_215048.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,5.95
HG02135,SRR30729225,SRP305758,PRJNA701308,SAMN26267392,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02135.m54329U_210615_233707.dc.q20.fastq.gz,24.18,17834,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02135/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02135.m54329U_210615_233707.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,7.8
HG02135,SRR30729224,SRP305758,PRJNA701308,SAMN26267392,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02135.m64076_210529_081414.dc.q20.fastq.gz,15.02,17512,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02135/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02135.m64076_210529_081414.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,4.85
HG02135,SRR30729223,SRP305758,PRJNA701308,SAMN26267392,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02135.m54329U_210507_224951.dc.q20.fastq.gz,3.78,18597,s3://human-pangenomics/submissions/B4B0B5DC-5FD5-42D5-8434-10DEF7D99E98--HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run/HG02135/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02135.m54329U_210507_224951.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2024_02_q20_re-run,1.22
