sample_id,filename,filetype,biosample_accession,library_strategy,library_source,platform,instrument_model,seq_kit,basecaller,basecaller_version,basecaller_model,modbase_model,generator_facility,generator_contact,path,read_n50,gbp,coverage,100kb+,whales,accession,study,bioproject_accession,production,sequencing_chemistry
HG02135,11_18_24_R1041_UL_HPRC_HG02135_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267392,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02135/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_18_24_R1041_UL_HPRC_HG02135_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,104550,133.04,40.31,21.04,64,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02135,11_18_24_R1041_UL_HPRC_HG02135_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267392,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02135/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_18_24_R1041_UL_HPRC_HG02135_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,98941,121,36.67,18.14,49,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02698,11_18_24_R1041_UL_HPRC_HG02698_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237509,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_18_24_R1041_UL_HPRC_HG02698_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,107930,130.86,39.65,21.29,66,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02698,11_18_24_R1041_UL_HPRC_HG02698_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237509,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02698/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_18_24_R1041_UL_HPRC_HG02698_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,113069,132.26,40.08,22.47,52,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02809,11_18_24_R1041_UL_HPRC_HG02809_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237510,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02809/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_18_24_R1041_UL_HPRC_HG02809_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,96840,57.87,17.54,8.49,56,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG03669,11_18_24_R1041_UL_HPRC_HG03669_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237512,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03669/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_18_24_R1041_UL_HPRC_HG03669_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,86023,53.64,16.26,6.89,28,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04160,11_18_24_R1041_UL_HPRC_HG04160_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706910,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04160/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_18_24_R1041_UL_HPRC_HG04160_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,107875,137.57,41.69,22.48,45,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04160,11_18_24_R1041_UL_HPRC_HG04160_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706910,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04160/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/11_18_24_R1041_UL_HPRC_HG04160_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,107559,138.84,42.07,22.66,38,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01346,12_02_24_R1041_UL_HPRC_HG01346_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267379,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01346_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,107725,71.28,21.6,11.6,47,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01346,12_02_24_R1041_UL_HPRC_HG01346_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267379,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01346/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01346_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,97713,78.29,23.73,11.62,64,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01884,12_02_24_R1041_UL_HPRC_HG01884_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267393,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01884/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01884_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,98637,125.88,38.14,18.8,10,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01884,12_02_24_R1041_UL_HPRC_HG01884_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267393,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01884/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01884_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,101010,117.2,35.52,17.96,11,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01943,12_02_24_R1041_UL_HPRC_HG01943_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237499,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01943/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01943_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,100449,91.74,27.8,13.96,23,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01943,12_02_24_R1041_UL_HPRC_HG01943_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237499,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01943/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG01943_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,98638,86.57,26.23,12.95,21,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02074,12_02_24_R1041_UL_HPRC_HG02074_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267381,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02074/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG02074_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,106976,46.2,14,7.46,18,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02074,12_02_24_R1041_UL_HPRC_HG02074_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267381,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02074/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG02074_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,106390,77.85,23.59,12.53,67,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02132,12_02_24_R1041_UL_HPRC_HG02132_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267382,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02132/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG02132_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,106345,103.03,31.22,16.57,37,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02132,12_02_24_R1041_UL_HPRC_HG02132_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267382,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02132/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG02132_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,112459,76.1,23.06,12.9,39,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02300,12_02_24_R1041_UL_HPRC_HG02300_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267395,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02300/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG02300_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,110597,111.82,33.88,18.46,48,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02300,12_02_24_R1041_UL_HPRC_HG02300_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267395,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02300/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG02300_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,127851,104.16,31.57,19.44,76,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02647,12_02_24_R1041_UL_HPRC_HG02647_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267383,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02647/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG02647_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,121766,86.95,26.35,15.58,31,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG02647,12_02_24_R1041_UL_HPRC_HG02647_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267383,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG02647/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG02647_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,125277,121.4,36.79,22.28,63,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG03804,12_02_24_R1041_UL_HPRC_HG03804_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706907,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG03804_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,105017,29.28,8.87,4.65,2,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG03804,12_02_24_R1041_UL_HPRC_HG03804_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706907,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03804/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG03804_2_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,111196,95.73,29.01,16.07,72,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG03816,12_02_24_R1041_UL_HPRC_HG03816_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706908,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03816/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG03816_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,108213,62.64,18.98,10.15,9,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG03816,12_02_24_R1041_UL_HPRC_HG03816_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706908,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG03816/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG03816_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,118366,75.16,22.78,13.25,40,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04157,12_02_24_R1041_UL_HPRC_HG04157_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706909,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04157/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG04157_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,105875,69.61,21.09,11.13,45,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04157,12_02_24_R1041_UL_HPRC_HG04157_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706909,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04157/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG04157_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,105280,66.85,20.26,10.63,47,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04187,12_02_24_R1041_UL_HPRC_HG04187_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706911,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04187/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG04187_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,124358,105.1,31.85,19.37,51,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04187,12_02_24_R1041_UL_HPRC_HG04187_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN37706911,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04187/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG04187_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,127691,86.12,26.1,16.28,30,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04199,12_02_24_R1041_UL_HPRC_HG04199_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267389,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04199/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG04199_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,126960,100.88,30.57,18.75,29,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04199,12_02_24_R1041_UL_HPRC_HG04199_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267389,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04199/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG04199_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,126697,95.49,28.94,17.7,36,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04204,12_02_24_R1041_UL_HPRC_HG04204_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267390,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04204/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG04204_1_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,150741,1.36,0.41,0.27,60,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG04204,12_02_24_R1041_UL_HPRC_HG04204_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267390,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.0,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG04204/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_02_24_R1041_UL_HPRC_HG04204_2_dorado0.9.0_sup5.0.0_5mCG_5hmCG.bam,160179,1.71,0.52,0.35,70,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG00609,12_09_24_R1041_UL_HPRC_HG00609_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237492,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00609/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG00609_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,102943,87.43,26.49,13.57,36,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG00642,12_09_24_R1041_UL_HPRC_HG00642_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26267378,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00642/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG00642_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,115590,87.99,26.66,15.22,59,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG00738,12_09_24_R1041_UL_HPRC_HG00738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237493,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG00738/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG00738_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,86857,120.99,36.66,15.53,28,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01496,12_09_24_R1041_UL_HPRC_HG01496_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237497,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01496/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG01496_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,100956,123.02,37.28,18.82,38,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
HG01943,12_09_24_R1041_UL_HPRC_HG01943_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,bam,SAMN26237499,WGS,GENOMIC,OXFORD_NANOPORE,PromethION,SQK-ULK114,dorado,0.9.5,dna_r10.4.1_e8.2_400bps_sup@v5.0.0,5mCG_5hmCG@v3,University of California Santa Cruz,iviolich@ucsc.edu,s3://human-pangenomics/working/HPRC/HG01943/raw_data/nanopore/sup5.0.0_5mCG_5hmCG/12_09_24_R1041_UL_HPRC_HG01943_1_dorado0.9.5_sup5.0.0_5mCG_5hmCG.bam,99053,106.32,32.22,15.97,46,,SRP305758,PRJNA701308,UCSC_HPRC_nanopore_Year2_R10,R1041
